"chart","year","rank","title","artist","image"
"top-artists","2006","1","","Chris Brown","https://charts-static.billboard.com/img/2006/12/chris-brown-cte-53x53.jpg"
"top-artists","2006","2","","Nickelback","https://charts-static.billboard.com/img/2006/12/nickelback-v3l-artist-chart-nkg-53x53.jpg"
"top-artists","2006","3","","Rascal Flatts","https://charts-static.billboard.com/img/2017/06/rascal-flatts-53x53.jpg"
"top-artists","2006","4","","Sean Paul","https://charts-static.billboard.com/img/2006/12/sean-paul-uyx-53x53.jpg"
"top-artists","2006","5","","Ne-Yo","https://charts-static.billboard.com/img/2006/12/ne-yo-kuu-artist-chart-q47-53x53.jpg"
"top-artists","2006","6","","The Pussycat Dolls","https://charts-static.billboard.com/img/1840/12/the-pussycat-dolls-gqc-53x53.jpg"
"top-artists","2006","7","","Rihanna","https://charts-static.billboard.com/img/2006/12/rihanna-t38-artist-chart-vji-53x53.jpg"
"top-artists","2006","8","","Mary J. Blige","https://charts-static.billboard.com/img/2017/07/mary-j-blige-53x53.jpg"
"top-artists","2006","9","","The Fray","https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg"
"top-artists","2006","10","","Justin Timberlake","https://charts-static.billboard.com/img/2006/12/justin-timberlake-bcj-artist-chart-3lf-53x53.jpg"
"top-artists","2006","11","","James Blunt","https://charts-static.billboard.com/img/2006/12/james-blunt-nim-53x53.jpg"
"top-artists","2006","12","","The All-American Rejects","https://charts-static.billboard.com/img/2006/12/the-all-american-rejects-yky-53x53.jpg"
"top-artists","2006","13","","Beyonce","https://charts-static.billboard.com/img/2006/12/beyonce-000-artist-chart-cci-53x53.jpg"
"top-artists","2006","14","","Kelly Clarkson","https://charts-static.billboard.com/img/2006/12/kelly-clarkson-tcv-artist-chart-0a3-53x53.jpg"
"top-artists","2006","15","","Carrie Underwood","https://charts-static.billboard.com/img/1840/12/carrie-underwood-obd-53x53.jpg"
"top-artists","2006","16","","T.I.","https://charts-static.billboard.com/img/2017/07/ti-53x53.jpg"
"top-artists","2006","17","","Fall Out Boy","https://charts-static.billboard.com/img/2006/12/fall-out-boy-zhw-53x53.jpg"
"top-artists","2006","18","","Daniel Powter","https://charts-static.billboard.com/img/2006/12/daniel-powter-x2o-53x53.jpg"
"top-artists","2006","19","","The Black Eyed Peas","https://charts-static.billboard.com/img/1840/12/the-black-eyed-peas-99h-53x53.jpg"
"top-artists","2006","20","","Eminem","https://charts-static.billboard.com/img/2017/02/eminem-53x53.jpg"
"top-artists","2006","21","","Natasha Bedingfield","https://charts-static.billboard.com/img/2006/12/natasha-bedingfield-z7w-53x53.jpg"
"top-artists","2006","22","","Gnarls Barkley","https://charts-static.billboard.com/img/2006/12/gnarls-barkley-bom-53x53.jpg"
"top-artists","2006","23","","Yung Joc","https://charts-static.billboard.com/img/2006/12/yung-joc-f7d-53x53.jpg"
"top-artists","2006","24","","Chamillionaire","https://charts-static.billboard.com/img/2006/12/chamillionaire-brc-53x53.jpg"
"top-artists","2006","25","","Nelly Furtado","https://charts-static.billboard.com/img/2017/04/nelly-furtado-53x53.jpg"
"top-artists","2006","26","","Mariah Carey","https://charts-static.billboard.com/img/1990/12/mariah-carey-tgq-53x53.jpg"
"top-artists","2006","27","","Shakira","https://charts-static.billboard.com/img/2017/06/shakira-53x53.jpg"
"top-artists","2006","28","","Red Hot Chili Peppers","https://charts-static.billboard.com/img/2006/12/red-hot-chili-peppers-c0t-53x53.jpg"
"top-artists","2006","29","","Kenny Chesney","https://charts-static.billboard.com/img/2017/06/kenny-chesney-53x53.jpg"
"top-artists","2006","30","","Panic! At The Disco","https://charts-static.billboard.com/img/2006/12/panic-at-the-disco-yl6-53x53.jpg"
"top-artists","2006","31","","Fergie","https://charts-static.billboard.com/img/2006/12/fergie-8pu-53x53.jpg"
"top-artists","2006","32","","Jamie Foxx","https://charts-static.billboard.com/img/2006/12/jamie-foxx-hji-53x53.jpg"
"top-artists","2006","33","","Cassie","https://charts-static.billboard.com/img/2006/12/cassie-68b-53x53.jpg"
"top-artists","2006","34","","Nelly","https://charts-static.billboard.com/img/2006/12/nelly-fmf-53x53.jpg"
"top-artists","2006","35","","Christina Aguilera","https://charts-static.billboard.com/img/1840/12/christina-aguilera-2gr-53x53.jpg"
"top-artists","2006","36","","Dem Franchize Boyz","https://charts-static.billboard.com/img/2006/12/dem-franchize-boyz-a35-53x53.jpg"
"top-artists","2006","37","","Hinder","https://charts-static.billboard.com/img/2006/12/hinder-iwo-53x53.jpg"
"top-artists","2006","38","","T-Pain","https://charts-static.billboard.com/img/2006/12/t-pain-kj8-53x53.jpg"
"top-artists","2006","39","","Ludacris","https://charts-static.billboard.com/img/2017/04/ludacris-53x53.jpg"
"top-artists","2006","40","","Keyshia Cole","https://charts-static.billboard.com/img/2017/03/keyshia-cole-53x53.jpg"
"top-artists","2006","41","","KT Tunstall","https://charts-static.billboard.com/img/2006/12/kt-tunstall-hm5-53x53.jpg"
"top-artists","2006","42","","Kanye West","https://charts-static.billboard.com/img/2017/04/kanye-west-53x53.jpg"
"top-artists","2006","43","","Snow Patrol","https://charts-static.billboard.com/img/2006/12/snow-patrol-t2t-53x53.jpg"
"top-artists","2006","44","","Tim McGraw","https://charts-static.billboard.com/img/2017/04/tim-mcgraw-53x53.jpg"
"top-artists","2006","45","","Keith Urban","https://charts-static.billboard.com/img/1840/12/keith-urban-9lg-53x53.jpg"
"top-artists","2006","46","","Toby Keith","https://charts-static.billboard.com/img/2017/07/toby-keith-53x53.jpg"
"top-artists","2006","47","","D4L","https://charts-static.billboard.com/img/2006/12/d4l-ba3-53x53.jpg"
"top-artists","2006","48","","Juelz Santana","https://charts-static.billboard.com/img/2006/12/juelz-santana-yuj-53x53.jpg"
"top-artists","2006","49","","Madonna","https://charts-static.billboard.com/img/2017/05/madonna-53x53.jpg"
"top-artists","2006","50","","Josh Turner","https://charts-static.billboard.com/img/2006/12/josh-turner-ru7-53x53.jpg"
"top-artists","2007","1","","Akon","https://charts-static.billboard.com/img/2006/12/akon-5il-53x53.jpg"
"top-artists","2007","2","","Fergie","https://charts-static.billboard.com/img/2006/12/fergie-8pu-53x53.jpg"
"top-artists","2007","3","","Justin Timberlake","https://charts-static.billboard.com/img/2006/12/justin-timberlake-bcj-artist-chart-3lf-53x53.jpg"
"top-artists","2007","4","","Daughtry","https://charts-static.billboard.com/img/1840/12/daughtry-c5r-53x53.jpg"
"top-artists","2007","5","","Carrie Underwood","https://charts-static.billboard.com/img/1840/12/carrie-underwood-obd-53x53.jpg"
"top-artists","2007","6","","Beyonce","https://charts-static.billboard.com/img/2006/12/beyonce-000-artist-chart-cci-53x53.jpg"
"top-artists","2007","7","","Nickelback","https://charts-static.billboard.com/img/2006/12/nickelback-v3l-artist-chart-nkg-53x53.jpg"
"top-artists","2007","8","","Avril Lavigne","https://charts-static.billboard.com/img/1840/12/avril-lavigne-tgt-53x53.jpg"
